eid,labels
230262,1;1;1
230263,1;1;1
230264,1;1;1
230265,1;1;1
1278842,4;1;6
885627,1;6;6
885630,1;4;4
230277,4;4;4
230280,2;2;1
164745,1;3;1
230282,2;2;1
230283,4;4;4
164748,1;1;1
164749,1;3;1
1278874,1;4;1
164765,1;1;1
1180574,1;1;1
1278885,1;2;1
263078,4;4;4
22001,1;1;1
1278888,4;1;6
164778,1;1;1
852913,3;1;1
852916,1;1;1
229534,1;1;2
230328,1;1;1
230329,1;3;1
164794,2;2;3
230334,1;2;1
230337,1;3;1
316918,1;1;1
1311686,1;1;4
164817,4;4;4
230356,1;1;1
164824,4;4;4
16549,1;2;1
16550,1;1;1
164840,1;1;1
754666,4;4;3
1278119,1;1;1
164846,4;4;4
38397,1;1;1
229544,1;1;1
164010,1;1;1
316928,1;1;1
1311751,1;1;1
885769,2;1;2
164874,1;4;4
1108823,1;1;1
230413,1;1;1
1278125,1;1;2
164880,1;4;4
230417,1;1;1
885779,1;3;1
1305433,1;1;1
164895,3;2;4
230434,1;1;1;1;1
164900,3;2;4
229553,1;1;1
230441,1;1;1;1;1
230445,1;1;1
230447,1;1;1;1;1
885810,3;1;1
721075,1;2;1
820276,2;4;4
820282,2;4;2
820283,4;3;4
820285,4;3;4
820287,2;4;2
317555,1;1;6
885832,1;1;1
420706,1;1;2
1082450,1;1;2
1082454,1;1;2
164952,2;2;3
263259,4;4;4
230494,1;1;1
230495,1;1;1
1311840,1;1;1
230497,1;1;1
1311843,1;1;1
1311846,1;1;1
230504,1;1;1
1103379,1;2;4
230519,1;1;1
1272949,1;1;1
230525,1;2;1
885888,2;3;1
728223,1;1;1
230533,1;1;1
131265,1;2;1
230538,1;1;1
230539,1;1;1
918671,1;1;1
165009,1;1;1
1311893,1;1;1
1174,1;1;1
82116,4;4;4
153114,1;1;4
230558,1;2;1
1184,1;1;1
230561,1;1;1
1188,1;6;1
165031,1;1;1
230570,1;1;1
427179,1;2;1
427184,1;2;1
1205,6;1;1
427190,1;1;1
164041,1;1;1
1208,1;1;6
349727,1;2;1
230588,1;1;1
1311935,1;1;1
1311936,1;1;1
1311937,1;1;1
427204,4;4;4
1221,1;1;1
1311942,1;1;1
230602,1;1;1
1227,1;2;1
1311950,1;1;1
427215,3;3;5
66768,1;1;1
1239,1;1;1
427227,3;3;4
437114,1;1;1
230622,1;1;1
230628,1;1;1
748412,2;1;1
1259,1;1;1
230637,1;1;1
1263,1;1;1
427248,2;2;2
1266,1;6;1
165108,1;1;1
1276,6;1;6
1278,1;1;1
2000127,2;4;1
1281,1;1;6
2000133,1;1;1
415276,1;1;1
1312010,1;1;2
754955,2;2;6
427279,1;1;1
754960,2;2;6
2000147,4;4;3
165140,1;1;1
66837,4;4;1
427290,1;1;1
1294555,1;1;1
1312040,1;1;2
1312042,1;1;4
951601,1;6;1
165179,1;1;1
165184,1;1;1
722241,1;1;1
722249,1;1;1
1312074,6;1;4
1136184,1;2;1
1312083,1;1;1
165204,4;3;4
1312085,1;1;1
951643,1;6;1
820573,3;1;1
820574,2;1;1
1312097,6;1;4
775739,2;4;4
34159,1;3;1
34160,1;1;1
502675,1;1;1
722297,4;4;4
722298,4;4;4
1181051,1;1;2
165245,1;1;1
34179,1;1;1
34182,2;1;1
722312,4;6;4
722313,4;6;4
722314,3;1;3
34189,1;1;1
66961,1;1;4
1279379,2;2;1
66964,1;1;4
165272,1;1;2
34202,1;3;3
165277,1;1;1
1312159,1;1;1
2000289,4;1;6
1312162,1;1;1
1103430,1;2;1
721137,1;1;2
165288,1;1;1
951723,4;2;1
165292,1;1;1
165295,1;1;1
22088,1;1;1
755125,4;1;1
165302,2;1;1
165303,4;3;4
165304,4;3;4
755137,1;4;4
165315,1;1;1
165318,1;1;1
34253,1;1;1
34257,1;1;1
951766,4;2;1
34265,1;1;1
34266,1;1;1
951771,1;1;1
250,6;1;1
34279,1;1;1
165353,1;1;2
1345006,4;4;4
34287,1;1;1
2000372,2;1;1
1312251,1;1;2
34300,1;1;6
34301,6;1;3
722432,1;1;1
34305,1;1;1
951812,1;1;1
34320,1;1;1
886291,4;4;4;2;4
34324,1;1;1
886293,1;1;1
951830,1;1;1
766415,1;1;4
34333,2;1;1
886303,1;1;2
722466,3;1;3
2000419,1;1;1
886311,3;1;1
34344,1;1;1
886314,4;1;4
1136221,1;2;1
1345073,4;4;4
165428,3;1;1
34361,1;2;1
34362,1;2;1
2000443,1;2;1
951874,1;1;1
951875,1;1;1
153185,1;2;1
1278220,2;6;2
165452,3;1;1
722511,1;1;1
34394,1;1;1
1097999,1;1;1
34397,1;1;1
165472,1;1;1
1114384,1;1;5
165475,1;2;1
165477,1;2;1
34409,4;4;4
34410,1;3;3
1312363,1;1;2
165484,2;1;1
722542,4;1;1;4;4;1
165487,2;1;1
722544,4;1;1;4;4;1
722545,4;2;1;4;4;1
951927,1;2;4
951928,1;2;4
1114388,1;1;5
1312378,1;1;1
951932,1;2;4
34429,1;1;1
165502,1;1;2
886400,6;6;1
886401,6;6;6
886403,6;1;6
1104279,2;4;1
755333,1;1;2
755335,1;1;2
722569,1;1;2
951947,1;2;4
1108930,1;1;1
722582,1;1;1
722589,1;1;1
722590,1;1;1
722592,1;1;1
34476,1;1;1
722605,1;1;1
2000564,1;1;2;1;1
722613,3;1;1
1103477,4;4;3
1148611,1;1;1
1103190,1;1;1
1148616,2;6;6;6;6
2000586,1;1;1
1147171,4;4;4
722644,1;1;1
1312470,1;1;4
415354,2;1;6
886500,1;1;1
67301,1;1;1
67302,1;1;1
919273,1;1;1
755437,4;4;6
153214,1;3;4
722679,1;1;1
950570,2;1;1
2000642,1;2;1;1;1
1312518,1;1;1
1310507,4;2;6
952075,1;1;1
1312525,1;1;2
1312528,1;1;2
952085,1;1;1
952087,1;1;1
919322,1;1;1
919324,1;1;1
919325,1;1;1
722721,1;1;1
78622,1;1;1
34595,1;1;2;1;1
420828,1;1;1
1123925,2;1;1
34608,1;1;1
1247025,2;1;2
34610,1;1;1
66779,1;1;1
775817,4;4;4
952122,1;1;1
1017659,1;1;1
1247036,2;1;1
722753,3;1;1
919363,1;1;1
722756,1;1;1
952134,1;1;1
722759,1;1;1
1879,1;1;1
952153,1;1;1
2000730,1;1;2
67421,4;1;2
67422,4;1;2
67424,1;6;2
67426,1;6;2
67428,4;4;1
1017702,1;1;1
67431,4;1;4
67433,4;1;4
952177,1;1;1
67443,1;1;1
1247092,1;3;1
952181,1;1;1
67446,1;4;1
67447,1;1;1
1017720,1;6;1
1312635,1;1;4
1312639,1;2;1
67459,1;4;5
1312646,1;1;2
34699,1;5;1
1122837,1;2;1
1312656,1;1;1
1050520,1;3;1
919452,3;3;3
1116061,1;1;1
1116062,3;1;1
755616,4;1;5
755617,4;1;5
1116066,2;1;1
1116069,1;1;1
41528,1;1;1
755624,4;1;1
755627,2;1;1
879458,1;1;2
755631,2;1;1
1116088,1;1;1
1116092,1;1;1;1;1;1
1312702,1;1;1
1123930,2;1;1
722887,1;1;1
1116104,1;1;1;1;1;1
1247179,4;1;1
416878,1;2;3
1247190,4;1;1
67544,4;1;2
67545,4;1;2
18616,1;6;1
177921,1;1;1
1247207,4;1;1
1247210,4;1;1
21890,1;1;1
67572,1;6;2
2004650,4;4;4
67582,4;4;1
67587,4;4;1
67588,4;1;4
67601,4;4;1
1127206,4;1;1
415406,2;1;6
1312792,6;1;1
2077,1;1;1
2078,1;1;1
2079,1;1;1
879622,1;1;1
21892,2;2;1
2099,1;1;1
177924,1;1;1
2105,4;2;4
2106,4;2;4
2107,4;2;4
2108,1;1;1
1280065,1;1;2
1017923,4;3;3
1312838,1;1;1
755783,2;2;6
952400,1;2;1
952401,1;2;1
404880,3;3;1
1280084,1;1;1
952406,1;1;1
1123935,1;1;1
919645,1;1;1
755806,1;1;2
67685,1;1;4
67687,1;1;4
952425,1;1;1
952426,1;1;1
755829,4;4;1
2001019,1;2;3
952453,4;3;2
67721,1;1;2
67722,1;1;1
952460,1;1;1
2189,1;1;1
2193,1;1;1
2194,1;1;1
919706,1;1;1
2208,4;4;4
2209,4;4;4
2210,1;2;1
1114481,1;1;1
1114482,1;1;1
952495,1;1;1
2225,1;1;1
2241,1;1;1
755909,1;2;6
755928,1;2;3
2001115,1;1;1
2275,1;1;1
2278,1;2;1
177930,1;1;1
1313004,1;2;2
1123940,1;2;1
755981,6;1;6
2001166,1;1;1
2001167,1;1;1
551983,4;4;4
1114501,1;1;1
1294158,1;1;1
229766,1;1;1
952616,1;1;1
1259242,1;1;1
952619,1;1;1
683058,4;2;2
952622,1;1;1
721289,6;1;1
690488,1;1;2
821569,6;1;1
2375,2;1;1
1125432,1;1;1
2001234,1;4;3;4;4
723283,1;1;6
952661,4;4;2
1247582,1;6;4
1247583,4;1;1
723298,1;1;1
1247589,6;2;3
723312,1;1;1
756081,1;1;1
1263609,4;4;4
1247608,1;1;1
756089,3;3;1
756091,3;4;1
29507,1;1;1
952701,1;1;2
952702,1;3;2
1247615,1;1;2
1247619,1;1;1
1241787,2;1;1
723336,1;3;4
952713,1;1;1
1247627,1;2;3
952716,1;1;1
952718,1;1;1
756112,3;3;1
952723,1;1;1
756117,1;1;1
82329,5;4;3
952728,1;1;1
723364,1;1;1
723365,1;1;1
1247656,2;1;1
952746,1;1;1
2001325,6;6;1
2001326,3;1;2
164843,1;1;1
723379,4;4;4
723381,1;1;2
723383,1;1;1
952762,1;1;2
723388,1;1;1
723390,1;1;1
1280463,1;3;4
1280465,2;3;4
1247699,2;1;1
952795,1;5;1
1272912,1;2;2
952803,1;3;1
2001380,2;1;1
723430,1;1;1
21907,1;2;1
1272915,1;1;1
887285,4;4;4
887286,4;4;4
2001412,1;1;1
887301,4;4;4
887307,4;4;4
887308,4;4;4
723478,4;4;4
723479,3;1;2
723482,4;4;4
723485,1;1;2
723486,1;1;2
1280549,1;1;1
723495,1;1;1
1103219,4;3;4
1280560,1;1;1
756277,1;1;1
2001469,1;1;1
1280576,1;6;1
1313347,4;1;6
2001477,1;1;2
1313353,1;1;1
1313354,1;2;1
2641,1;1;1
2005371,1;1;1
874255,1;1;1
950714,1;1;1
2001505,4;4;6
756323,1;1;6
1247853,4;4;4
2001525,4;1;4
1317083,1;1;6
756345,2;1;1
756346,2;1;1
1313415,1;1;1
952971,1;3;1
1313420,1;2;1
1280656,1;1;1
1247889,1;1;2
952983,1;2;1
2714,1;1;1
2715,1;1;1
756381,2;1;1
756389,1;1;1
2731,1;1;1
756399,2;1;1
1280695,1;1;1
2001598,4;4;4
1247935,4;4;1
1116864,1;1;1
2754,2;1;1
953027,1;1;1
1116868,1;1;1
2001605,1;1;4
1116870,1;1;1
2001607,2;1;1
2001609,1;1;1
920266,4;1;4
1116879,1;1;1
690896,4;1;1
690897,4;1;1
1280725,1;1;1
1280727,1;1;1
2779,1;1;2
1247964,1;1;2
2781,1;1;1
163762,5;1;1
1247968,1;2;3;4;4
756449,1;1;1
756450,1;1;1
1247971,1;1;3;4;4
1116909,1;1;1
1247982,1;1;1
1181050,3;3;2
1116918,2;1;1
1116919,2;1;1
1280763,1;1;1
756476,1;1;1
756478,1;1;1
920319,1;1;1
756483,1;1;1
2001675,1;1;1
690957,6;1;6
690958,6;1;6
2001681,1;1;1
690962,2;1;3
690963,2;1;3
2001685,1;1;1
2001686,1;1;1
1103227,1;1;2
2001695,1;1;1
2004784,1;1;1
756525,1;1;1
477,1;1;1
690993,4;1;1
1294309,1;1;1
2874,1;1;1
2875,1;1;1
756542,1;1;1
756544,1;1;1
1248069,1;3;1
2001736,1;1;1
2001743,1;1;1
2001745,2;1;1
2001746,3;1;1
2901,1;1;2
1251129,1;1;1
2001759,1;1;1
723808,1;1;1
723811,1;1;1
723812,1;1;1
723813,1;1;1
756586,1;1;1
721383,1;1;2
953196,2;1;2
68461,1;4;2
1248112,2;2;1
1280882,1;1;1
723828,1;1;1
1248117,3;2;1
1248118,1;1;1
164329,5;4;4
1248124,1;1;2
2001789,1;1;1;1;1
244431,1;1;2
920454,4;1;4
953223,1;1;1
723851,1;1;1
1248150,1;6;2
953245,1;1;1
2001839,1;1;1
2001840,1;1;2
756659,3;2;2
289950,1;4;1
756662,6;4;4
756664,1;4;4
1248189,1;1;1;1;3
1248200,1;1;1
2001869,4;4;1
1117142,1;1;6
1117152,1;1;6
2001889,1;1;1
737787,3;4;4
1272998,6;3;6
756710,1;1;1
1248232,1;3;4
1117162,1;1;1
1149938,2;3;4;3;4
560116,1;1;1
1149941,1;4;4;4;4
756726,1;1;1
2001912,1;1;1
420187,2;1;3
756732,4;3;3
1313789,1;2;1
3070,1;1;1;1;1
1117183,4;4;4
1117184,4;4;4
180736,1;1;1
2001922,1;2;1
2001927,1;1;1
756745,6;1;1
560139,1;1;1
953356,1;1;3
756750,4;1;1
1281039,2;1;1
1281040,1;1;1
1281042,1;1;1
2001945,1;1;1
2001948,1;1;1
2001950,1;1;1
3103,2;1;1
3104,2;1;1
560161,1;1;1
1248291,1;2;3
756772,1;1;1
311814,1;4;1
2001963,1;1;1
1248305,1;2;3
1248306,4;1;4
1251630,1;1;4
244517,4;2;4
953404,1;1;3
2001981,4;4;4
2001987,1;2;1
1098252,4;1;1
756812,3;4;1
920653,2;1;6
1117263,1;2;1
756819,4;4;4
920664,1;1;1
2002014,2;1;1
415589,3;1;1
920672,1;1;6
2002027,4;4;4
2002029,1;2;1
2002030,2;3;1
2002031,2;3;1
2002032,1;1;1
2002033,2;1;1
1248371,1;2;1
691324,1;1;3
1248382,4;4;1
1248385,2;1;1
756869,4;4;1
1248392,1;1;1
920718,1;2;1
453827,1;1;2
756886,1;1;5
2002074,3;4;2
756891,1;1;1
2002082,1;1;1
920741,1;1;1
920742,1;1;1
1248423,1;1;1
1248424,3;4;6
2002089,1;1;2
1248426,3;2;1
772628,4;3;1
889379,1;1;6
2002105,1;1;2
2002106,1;1;2
1248444,1;1;2
1313985,4;1;6
2002114,1;1;1
1248451,4;4;3
724168,2;1;1;1;1;2
3274,1;1;1
3275,1;1;1
3276,1;1;1
1117389,1;1;1
822478,1;1;2
822481,1;1;2
1117397,2;3;1
1117398,2;3;1
1248473,1;1;1;1;3
1248474,1;1;1;1;3
560349,1;1;1
560350,1;1;1
2002144,1;1;2
415611,1;1;2
2002148,1;1;1
822505,2;2;1
1248491,1;3;4
2002157,4;4;4
2002158,1;3;1
2002163,1;1;1
2002164,1;1;1
2002165,1;1;1
2002166,1;1;1
2002167,1;1;2
2002168,1;1;1
2002173,1;1;1
2002177,1;1;1;1;1
2002184,1;1;1
1248522,1;1;4
1248528,1;2;3
683225,1;1;1
1248538,4;1;4
888094,2;2;1
888096,4;2;2
953634,1;1;1
2002212,1;1;1;1;1
953637,1;1;1
888106,4;4;1
888107,2;1;1
888112,4;2;2
888114,1;1;1
877381,1;1;1
1019193,1;1;3
2002240,1;4;2
2002244,1;1;1
721462,1;1;1
2002247,1;1;2
2002248,1;1;1
1346896,1;1;1
1109219,1;1;1
3414,2;6;1
953687,6;1;1
953690,6;1;1
2002272,1;1;3
1248613,3;1;1
3436,1;1;1
1248621,2;1;1
721469,1;1;2
2002288,1;1;1
2002292,1;3;1
920949,1;2;1
920952,1;1;1
721471,1;2;3
888190,4;4;1
822660,1;1;1
822663,1;1;1
1117577,2;1;1
822669,1;1;1
757134,1;1;1
1117584,1;1;1
1117585,1;1;1
757138,2;1;1
1117588,1;1;1
953750,1;1;1
691607,2;4;1
691609,2;4;1
994543,1;1;1
2002332,1;1;1
2002333,1;1;2
2002334,3;1;2
757152,4;4;4
2002337,3;1;1
2002338,1;2;1
757155,4;4;4
822694,1;1;1
2002343,1;1;1
2002344,4;2;3
2002345,1;1;1
822698,4;4;4
2002347,1;1;2
2002348,1;1;1
757167,1;1;1
2002352,2;1;1
2002353,1;1;6
822706,1;1;1
1117619,1;1;1
2002359,4;4;4
921016,4;4;4
2002362,1;2;1
2002364,4;2;4
2002365,4;2;4
2002367,1;1;4
2002368,1;1;1
2002369,4;1;4
2002372,1;1;1
757189,1;1;1
2002376,1;1;1
921034,4;4;4
2002379,1;1;1
757197,2;1;1
1117646,1;1;1
757200,1;1;1
757201,4;4;4
1215954,1;1;1
1215955,3;1;1
921045,4;4;4
1215958,1;1;1
2002398,1;1;1
2002399,1;1;2
2002401,1;1;1
1215970,1;1;1
1215974,2;1;1
1215975,1;1;1
69101,1;2;1
69102,1;2;1
822769,1;1;1
1117686,1;1;1
69114,6;1;1
69117,1;1;3
888321,1;2;1
822787,1;1;1
822788,1;1;1
822789,1;1;1
1117702,2;1;1
765185,4;4;4
888328,1;3;1
1216014,2;1;1
1117716,1;1;1
1314325,1;1;1
2002454,1;2;1
1117724,1;1;1
953887,4;1;1
69157,1;1;3
2002472,1;1;1
724521,1;1;1
953899,1;1;1
953901,1;1;1
1117742,1;3;1
87987,1;2;1
1117748,1;1;1
953909,3;1;1
1117750,1;1;1
2002487,1;1;2
2002488,1;1;1
724539,1;1;1
2004917,1;1;1
822848,1;1;1
2002497,1;1;2
3656,1;1;5
953930,1;1;6
2002508,1;2;1
773733,4;3;4
3672,1;1;1
1347162,1;2;1
1314401,1;1;1
724587,4;4;1
822898,1;1;1
822902,1;1;1
1117815,1;1;1
888446,1;1;1
69247,6;1;1
2002562,4;4;3
2002566,3;1;1
726977,3;1;3
2002568,1;1;1
724617,1;1;1
1117834,1;1;1
2002575,1;1;1
1117840,1;1;1
69265,1;1;1
3738,1;1;1
1254924,4;4;4
825285,1;1;1
1052327,1;1;1
2002600,1;6;1
772645,1;1;1
1052334,1;1;1
1052335,1;1;1
1216182,1;1;1
1347256,1;2;1
317386,1;1;1
1216190,1;1;1
825020,1;1;1
145246,2;4;4
921286,1;1;1
134862,1;1;1
134863,1;1;1
1299662,4;3;1
134865,1;1;1
1117907,1;4;1
1117909,1;1;1
560854,2;2;1
3799,1;1;1
683300,1;1;1
1052379,1;1;6
1117916,1;2;1
134878,1;1;1
1216224,1;1;1
954081,1;1;6
134882,1;1;1
1117925,1;1;1
560870,4;4;4
3816,2;1;1
2002671,4;1;1
1117936,1;2;1
1249012,1;1;1
1249017,1;1;1
1305898,4;4;3
1117959,1;1;1
560906,2;2;1
888589,1;1;1
134927,1;1;1;1;1
954128,1;2;1
888603,1;1;1
1249053,1;2;1
1216287,4;2;1
134949,1;1;1;1;1
2002729,1;1;1
1216298,4;1;1
2002731,1;1;1
560946,1;4;4
1052468,1;1;6
1216313,1;1;1
757562,6;6;1
757563,6;6;1
69437,1;5;4
2002751,1;2;2
1118016,1;1;1
1052481,1;1;6
2002754,1;3;4
1098380,6;4;1
896311,1;2;1
1052494,4;4;4
1216338,2;3;1
757591,6;6;1
2002777,1;1;1
102235,1;1;1
1118051,1;1;1
1118053,1;1;1
1216360,1;1;1
1118057,1;1;1
1216362,1;3;1
874471,1;1;1
2002796,4;2;3
2002799,4;3;4
1052529,4;4;4
1118070,1;1;6
145582,1;1;1
415722,6;6;6
1118078,2;1;1
2002818,1;1;1
2002819,1;1;1
2002820,3;1;1
1216389,1;1;1
2002828,1;1;1
1118095,2;1;3
921488,2;4;2
1216401,1;1;1
2002834,4;1;1
1118099,2;1;1
1118100,3;1;1
2002839,4;5;4
2002841,1;1;1
921498,2;4;2
888737,1;1;1
888738,1;1;1
754104,1;1;1
29594,3;1;1
1314735,1;1;1
1314737,1;1;2
2002866,1;1;1
2002870,1;1;1
1305929,1;1;1
2002876,3;1;2
724926,1;1;1
724927,2;1;1
69568,1;2;1
757697,1;4;1
724930,1;1;1
102340,1;1;1
2002885,6;4;4
2002888,1;1;1
69580,1;1;1
69581,1;1;1
724942,2;1;3
724943,2;1;1
102354,1;1;1
102355,2;1;1
2002902,1;1;3
104441,1;1;1
724957,1;1;1
1216480,1;1;1
36837,1;3;1
36841,1;1;1
2002923,6;1;1
2002926,1;1;1
2002928,1;1;1
1118193,1;3;4
69618,4;2;1
1267712,4;6;4;4;4
2002959,4;3;3
2002963,1;1;1
725012,1;1;1
151804,2;1;4
725014,1;1;1
1216537,1;1;1
1216539,1;1;1
36893,4;4;1
2002985,1;1;1
36907,1;6;1
2002990,1;2;1
2002991,1;2;1
69680,1;2;1
725052,1;1;1
1282109,1;1;1
69695,1;1;1
725064,1;1;1
36940,1;1;1
1052749,1;1;1
874509,6;1;2
725073,1;1;1
2003027,1;1;1
725080,1;6;1
1052762,1;1;1
2003036,1;1;1
2003040,1;1;1
2003043,2;6;1
36964,1;6;1
2003046,3;3;1
135271,3;1;1
36977,2;1;5
2003058,1;1;1
725111,1;1;1
1349652,1;1;2
692358,1;4;1
2003082,1;1;2
725132,1;1;1
227096,1;2;1
37009,1;1;1
37010,1;1;1
1052819,1;3;1
1314964,1;2;3
2003093,1;6;6
1052823,1;3;1
1155648,1;1;3
37017,1;3;1
37019,3;1;1
77169,1;1;2
1251668,2;1;1
874524,1;1;1
2003119,3;3;4
2003122,2;4;4
2003125,1;3;6
921782,1;1;1
37049,3;1;1
2003136,1;1;1
350240,1;1;1
135362,3;3;1
757955,1;1;1
2003140,4;3;4
37062,1;3;1
725193,1;1;1
823498,1;1;1
2003148,1;6;1
823503,3;1;3
1052880,1;1;1
1103907,3;4;4
2003157,2;6;2
2003161,1;1;2
790746,1;1;1;1;1
790747,1;1;1;1;1
